Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,224,413,597,873,1178,1450,1701,2355,3034,3827,4595,4890,5090,5186,5264,5304,5303,5494,5689,5876,6045,6166,6290,6396,6488,6571,6572,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
AMBERTON ROAD,235,410,578,829,1108,1361,1594,2192,2814,3539,4208,4420,4597,4703,4800,4864,4886,5063,5250,5443,5622,5759,5880,5962,6035,6102,6106,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
ANNFIELD 66/20KV,153,264,371,529,704,865,1012,1428,1939,2548,3263,3807,4227,4523,4747,4907,4999,5246,5478,5687,5872,6023,6174,6305,6413,6500,6505,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
ASHINGTON,215,377,533,764,1020,1253,1467,2037,2672,3419,4224,4725,5101,5351,5548,5686,5758,6027,6291,6532,6748,6921,7080,7199,7299,7382,7386,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,72,128,179,254,338,414,485,679,906,1177,1459,1622,1781,1904,2004,2081,2129,2249,2370,2480,2582,2668,2736,2772,2802,2828,2830,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BARDEN FRIAR,4,5,5,6,7,9,10,14,24,36,57,88,111,129,142,152,160,171,181,189,197,203,210,216,222,225,226,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BEDALE,96,154,212,297,392,482,564,772,1000,1267,1663,2118,2380,2542,2661,2747,2795,2927,3046,3150,3241,3314,3395,3476,3540,3592,3599,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BELMONT,175,301,425,610,815,1002,1174,1611,2062,2586,3141,3459,3634,3718,3782,3817,3820,3950,4075,4195,4301,4376,4464,4556,4632,4699,4704,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BENSHAM,90,148,200,276,358,432,497,730,1085,1511,1816,1702,1785,1895,1982,2045,2081,2179,2274,2363,2443,2508,2585,2666,2739,2801,2803,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BENTON SQUARE,241,442,638,932,1257,1549,1818,2478,3084,3781,4449,4712,4814,4816,4831,4826,4796,4949,5112,5277,5431,5538,5634,5696,5752,5807,5811,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BENWELL,135,223,309,437,578,706,822,1177,1658,2231,2697,2670,2779,2884,2961,3008,3024,3138,3247,3346,3432,3493,3584,3699,3799,3885,3888,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,94,172,244,349,464,565,659,961,1386,1899,2418,2678,2999,3266,3475,3632,3731,3962,4186,4380,4553,4703,4835,4929,5010,5075,5077,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BILLY MILL,69,117,161,224,293,356,414,628,984,1419,1821,1938,2185,2415,2592,2725,2811,2991,3163,3309,3439,3552,3662,3757,3839,3904,3907,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,70,124,175,250,332,406,475,679,948,1270,1607,1797,1997,2155,2280,2373,2430,2563,2693,2811,2918,3008,3089,3146,3196,3235,3237,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,62,110,155,224,300,369,433,601,787,1006,1223,1318,1398,1448,1489,1516,1528,1587,1646,1705,1758,1800,1840,1873,1901,1925,1926,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BLAYDON BURN,151,260,366,525,702,864,1013,1405,1837,2344,2851,3079,3257,3368,3456,3513,3536,3675,3813,3945,4063,4153,4244,4324,4392,4451,4454,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BLUCHER 33/11KV,158,285,411,600,808,995,1167,1625,2123,2706,3243,3381,3489,3542,3581,3595,3583,3699,3816,3927,4026,4092,4175,4263,4340,4408,4410,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BOLDON DOWNHILL,58,104,146,208,276,338,394,586,881,1237,1599,1770,1993,2180,2323,2427,2492,2634,2769,2888,2993,3082,3170,3246,3312,3363,3364,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,94,168,243,356,480,593,697,930,1103,1294,1515,1678,1683,1631,1591,1552,1512,1530,1548,1572,1595,1600,1615,1636,1653,1671,1673,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BOWESFIELD 33/11KV,143,236,327,464,617,760,892,1222,1571,1978,2349,2446,2522,2562,2598,2619,2623,2713,2806,2898,2982,3043,3110,3175,3230,3282,3292,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BOWESFIELD 66/11KV,156,281,395,567,757,928,1087,1470,1808,2197,2560,2725,2843,2914,2996,3062,3104,3280,3470,3647,3815,3958,4043,4041,4043,4051,4056,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BRANCEPETH,163,277,393,556,733,893,1038,1466,2014,2664,3647,4785,5516,6005,6358,6609,6752,7095,7399,7658,7881,8064,8267,8470,8632,8754,8759,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BREAMISH STREET,83,125,161,215,272,324,368,530,776,1068,1212,977,931,940,951,955,954,984,1013,1041,1066,1083,1117,1166,1211,1253,1255,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
BRENDA TRADING,162,273,380,539,715,877,1025,1457,2016,2685,3342,3618,3935,4185,4379,4519,4598,4821,5039,5238,5416,5560,5703,5825,5930,6015,6019,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CAMPLESHON ROAD,136,229,318,452,600,737,862,1206,1620,2109,2680,3110,3419,3630,3788,3899,3958,4145,4315,4466,4599,4705,4821,4933,5026,5102,5105,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CARLEY HILL,111,180,246,343,452,554,647,942,1378,1905,2404,2564,2819,3038,3203,3322,3394,3573,3743,3891,4020,4126,4242,4357,4454,4534,4537,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CARLIN HOW T3 T4,145,242,340,481,637,779,908,1271,1710,2230,3011,3912,4468,4830,5092,5278,5380,5643,5876,6076,6249,6388,6544,6699,6823,6917,6922,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CARR HILL,95,158,216,298,387,468,542,842,1374,2024,2622,2778,3155,3512,3785,3989,4120,4370,4608,4817,5002,5163,5326,5473,5600,5701,5703,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CATTERICK CAMP,148,249,346,489,649,796,932,1277,1646,2077,2621,3121,3433,3632,3788,3901,3967,4160,4344,4509,4659,4781,4897,4987,5062,5124,5134,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CLOSE,144,201,250,323,404,480,545,743,1004,1308,1430,1125,1012,969,944,922,904,914,928,943,957,963,988,1031,1071,1111,1117,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CONEYTHORPE,99,168,234,334,446,549,643,881,1127,1413,1741,1979,2120,2200,2262,2303,2322,2420,2515,2601,2679,2738,2798,2850,2894,2931,2935,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CONSETT,205,353,496,708,942,1156,1352,1883,2491,3210,4055,4717,5194,5518,5769,5949,6051,6350,6635,6892,7123,7312,7489,7627,7742,7834,7841,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CORPORATION STREET,51,73,94,124,156,187,214,307,454,631,737,641,644,669,690,703,710,735,759,782,802,818,844,880,912,940,942,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CRAMLINGTON T1 T3,73,128,183,265,356,439,515,704,889,1102,1308,1385,1418,1421,1425,1422,1411,1454,1497,1539,1576,1601,1629,1657,1681,1703,1704,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
CRAMLINGTON T2 T4,72,126,179,258,346,427,500,683,860,1065,1259,1327,1355,1356,1359,1355,1345,1387,1430,1471,1508,1532,1560,1585,1607,1627,1628,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DARLEY,37,57,76,105,137,168,197,271,360,466,617,781,888,960,1014,1053,1077,1134,1185,1229,1268,1300,1334,1364,1388,1407,1410,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DARLINGTON 132/6KV,65,111,154,219,291,357,417,585,787,1026,1261,1360,1466,1547,1612,1659,1686,1768,1850,1925,1993,2049,2100,2139,2172,2201,2202,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DARLINGTON 33/11KV,111,168,222,302,393,482,563,796,1116,1500,1863,1988,2172,2329,2453,2546,2604,2740,2872,2990,3096,3185,3273,3349,3414,3468,3472,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DARLINGTON CENTRAL 33/11KV,52,91,129,185,247,304,356,496,654,840,1012,1061,1114,1151,1181,1201,1209,1255,1302,1349,1392,1424,1457,1484,1507,1528,1529,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DARLINGTON EAST,166,297,426,621,837,1033,1212,1637,2000,2411,2858,3139,3210,3188,3174,3149,3110,3185,3261,3341,3414,3457,3508,3558,3599,3639,3641,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DARLINGTON WEST,116,202,284,406,540,662,774,1113,1568,2115,2633,2808,3055,3259,3418,3533,3599,3789,3972,4134,4277,4396,4514,4615,4703,4775,4777,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DENWICK,213,332,450,623,816,999,1164,1595,2087,2664,3487,4385,4917,5254,5501,5674,5768,6035,6275,6482,6663,6804,6965,7126,7255,7356,7363,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DUNSTON 66/11KV,50,75,97,129,165,200,233,351,558,812,1070,1194,1375,1536,1658,1750,1811,1926,2034,2126,2207,2278,2348,2411,2463,2504,2507,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DUNSTON 66/20KV,115,198,279,398,528,646,754,1079,1512,2029,2652,3149,3542,3825,4034,4183,4268,4485,4685,4859,5010,5134,5267,5392,5496,5577,5580,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
DURHAM EAST,94,148,201,280,370,456,535,721,903,1113,1300,1348,1373,1379,1389,1394,1393,1442,1494,1543,1589,1623,1655,1681,1703,1725,1730,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
EASTFIELD,197,351,503,732,984,1212,1420,1940,2437,3010,3664,4132,4345,4427,4488,4516,4507,4656,4798,4935,5056,5139,5233,5325,5401,5467,5469,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
EASTGATE CEMENT,23,29,35,43,53,65,75,113,187,279,433,633,783,896,980,1043,1084,1154,1216,1267,1311,1349,1390,1429,1460,1483,1485,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
EDUCATIONAL PRECINCT,72,103,131,172,217,261,299,442,688,984,1170,1026,1060,1130,1185,1226,1251,1315,1375,1426,1472,1509,1560,1623,1678,1725,1728,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
ELVINGTON,26,34,41,51,63,77,89,125,183,255,373,528,641,724,787,835,867,921,968,1008,1044,1075,1107,1138,1162,1180,1183,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of heat pumps (total)
