Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.8,2.956,3.197,3.82,4.249,4.965,5.375,6.293,7.26,8.206,9.191,10.271,10.883,11.416,11.945,12.494,13.048,13.606,14.187,14.229,14.818,15.424,16.03,16.591,17.202,17.803,17.803,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
AMBERTON ROAD,2.541,2.696,2.93,4.127,4.827,6.243,6.892,8.67,10.525,12.385,14.28,16.311,17.275,17.891,18.512,19.116,19.72,20.291,20.918,20.162,20.815,21.46,22.103,22.719,23.349,23.984,23.985,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,25.997,26.179,26.498,27.537,28.177,29.4,29.998,31.578,33.215,34.843,36.507,38.298,39.177,39.806,40.443,41.077,41.719,42.334,42.998,42.534,43.223,43.913,44.6,45.25,45.932,46.617,46.62,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
ASHINGTON,8.329,8.604,9.037,10.403,11.266,12.859,13.671,15.858,18.077,20.264,22.493,24.886,26.031,26.912,27.829,28.742,29.693,30.585,31.548,31.099,32.108,33.128,34.134,35.079,36.091,37.11,37.123,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.83,1.906,2.029,2.436,2.69,3.167,3.406,4.024,4.665,5.3,5.951,6.653,7.002,7.26,7.521,7.782,8.047,8.302,8.576,8.42,8.703,8.989,9.273,9.541,9.824,10.107,10.108,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.086,0.093,0.106,0.211,0.269,0.395,0.447,0.61,0.776,0.944,1.114,1.293,1.369,1.408,1.449,1.487,1.525,1.558,1.596,1.5,1.542,1.581,1.62,1.659,1.696,1.735,1.735,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BEDALE,4.256,4.378,4.697,5.811,6.448,7.771,8.359,10.06,11.814,13.574,15.357,17.257,18.112,18.627,19.159,19.665,20.178,20.643,21.167,20.346,20.901,21.443,21.98,22.498,23.022,23.558,23.562,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BELMONT,15.637,15.767,15.963,17.011,17.619,18.86,19.423,21.002,22.638,24.278,25.945,27.728,28.557,29.079,29.61,30.123,30.64,31.121,31.654,30.964,31.522,32.072,32.619,33.143,33.679,34.222,34.224,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BENSHAM,0.812,0.911,1.05,1.579,1.908,2.527,2.836,3.62,4.44,5.255,6.091,6.996,7.456,7.793,8.13,8.47,8.81,9.143,9.498,9.298,9.664,10.032,10.399,10.745,11.111,11.475,11.475,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BENTON SQUARE,2.737,2.872,3.086,3.633,3.994,4.627,4.97,5.778,6.626,7.462,8.326,9.269,9.78,10.199,10.615,11.043,11.474,11.904,12.355,12.288,12.749,13.218,13.687,14.124,14.595,15.06,15.06,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BENWELL,1.648,1.776,1.954,2.605,3.015,3.776,4.161,5.124,6.133,7.134,8.164,9.279,9.853,10.284,10.713,11.148,11.584,12.011,12.467,12.251,12.719,13.191,13.662,14.105,14.574,15.042,15.042,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,28.048,28.203,28.4,28.815,29.125,29.593,29.892,30.508,31.155,31.78,32.438,33.168,33.613,34.045,34.472,34.923,35.381,35.848,36.327,36.515,37,37.503,38.006,38.468,38.979,39.479,39.48,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BILLY MILL,2.171,2.291,2.451,2.872,3.16,3.643,3.918,4.537,5.189,5.827,6.491,7.218,7.63,7.986,8.34,8.707,9.077,9.451,9.839,9.861,10.256,10.66,11.065,11.441,11.849,12.251,12.251,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.657,1.749,1.888,2.276,2.53,2.978,3.219,3.802,4.409,5.007,5.624,6.294,6.648,6.935,7.223,7.517,7.815,8.109,8.419,8.356,8.674,8.998,9.321,9.622,9.946,10.267,10.268,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.788,0.841,0.932,1.248,1.441,1.812,1.992,2.464,2.957,3.447,3.949,4.489,4.756,4.944,5.133,5.321,5.51,5.692,5.888,5.74,5.943,6.146,6.349,6.541,6.742,6.943,6.944,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BLAYDON BURN,2.019,2.133,2.373,3.2,3.687,4.664,5.116,6.342,7.622,8.904,10.211,11.615,12.289,12.729,13.171,13.605,14.038,14.45,14.901,14.402,14.87,15.334,15.796,16.238,16.692,17.149,17.15,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BLUCHER 33/11KV,1.779,1.901,2.081,2.506,2.798,3.286,3.565,4.191,4.85,5.494,6.166,6.902,7.318,7.682,8.041,8.415,8.792,9.173,9.568,9.594,9.996,10.408,10.821,11.203,11.619,12.029,12.029,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOLDON DOWNHILL,2.919,3.02,3.148,3.473,3.702,4.072,4.292,4.77,5.274,5.765,6.279,6.843,7.17,7.464,7.755,8.059,8.366,8.677,8.998,9.054,9.381,9.717,10.053,10.364,10.704,11.038,11.038,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.953,0.995,1.152,1.466,1.651,2.023,2.194,2.673,3.168,3.662,4.165,4.702,4.952,5.115,5.281,5.443,5.607,5.76,5.928,5.727,5.904,6.078,6.252,6.418,6.588,6.761,6.762,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOWESFIELD 33/11KV,1.056,1.155,1.332,2.356,2.932,4.15,4.68,6.201,7.785,9.382,11.002,12.73,13.517,13.97,14.429,14.865,15.298,15.694,16.143,15.343,15.815,16.272,16.727,17.17,17.61,18.059,18.059,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BOWESFIELD 66/11KV,1.176,1.248,1.357,1.922,2.251,2.92,3.225,4.064,4.938,5.816,6.71,7.668,8.121,8.408,8.698,8.979,9.261,9.526,9.818,9.454,9.759,10.059,10.358,10.645,10.937,11.233,11.233,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BRANCEPETH,17.036,17.233,17.554,18.637,19.291,20.565,21.186,22.531,24.241,25.918,27.643,29.501,30.426,31.092,31.765,32.438,33.129,33.785,34.499,34.046,34.786,35.521,36.261,36.959,37.696,38.434,38.437,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BREAMISH STREET,1.352,1.402,1.534,1.938,2.173,2.651,2.869,3.467,4.092,4.72,5.359,6.043,6.367,6.57,6.775,6.974,7.173,7.359,7.566,7.296,7.511,7.722,7.933,8.136,8.342,8.55,8.55,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
BRENDA TRADING,2.768,2.943,3.203,4.379,5.081,6.467,7.12,8.867,10.689,12.511,14.372,16.373,17.344,17.997,18.653,19.3,19.948,20.567,21.241,20.596,21.295,21.99,22.683,23.342,24.025,24.711,24.711,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CAMPLESHON ROAD,2.269,2.4,2.644,3.325,3.751,4.548,4.948,5.963,7.023,8.075,9.156,10.323,10.917,11.358,11.799,12.244,12.691,13.127,13.593,13.344,13.824,14.308,14.79,15.244,15.725,16.204,16.204,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CARLEY HILL,2.008,2.157,2.398,3.332,3.896,4.995,5.52,6.903,8.348,9.792,11.268,12.858,13.641,14.181,14.721,15.257,15.793,16.31,16.869,16.396,16.974,17.55,18.126,18.672,19.24,19.81,19.81,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CARLIN HOW T3 T4,5.17,5.331,5.571,6.715,7.392,8.747,9.377,11.09,12.873,14.658,16.477,18.43,19.364,19.978,20.597,21.205,21.814,22.39,23.022,22.349,23.007,23.658,24.307,24.926,25.565,26.208,26.209,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CARR HILL,2.53,2.706,3,3.738,4.223,5.077,5.536,6.629,7.774,8.903,10.07,11.341,12.025,12.579,13.131,13.696,14.266,14.833,15.428,15.316,15.925,16.545,17.164,17.742,18.363,18.978,18.978,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CATTERICK CAMP,2.478,2.675,3.024,4.262,5.01,6.467,7.165,9.148,11.158,13.151,15.171,17.328,18.309,18.995,19.716,20.418,21.151,21.82,22.558,21.914,22.695,23.474,24.241,24.969,25.734,26.512,26.523,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CLOSE,0.998,1.036,1.158,2.06,2.535,3.62,4.051,5.391,6.784,8.2,9.627,11.137,11.778,12.072,12.374,12.642,12.904,13.124,13.393,12.469,12.76,13.028,13.295,13.565,13.812,14.072,14.073,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CONEYTHORPE,2.762,2.857,3.09,3.702,4.07,4.791,5.134,6.071,7.038,8.001,8.982,10.033,10.533,10.875,11.226,11.57,11.92,12.249,12.609,12.278,12.654,13.029,13.4,13.753,14.122,14.493,14.496,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CONSETT,25.142,25.346,25.669,26.994,27.753,29.314,30.035,31.404,33.485,35.516,37.607,39.85,40.938,41.665,42.4,43.126,43.879,44.575,45.352,44.633,45.442,46.231,47.032,47.794,48.587,49.386,49.39,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CORPORATION STREET,0.257,0.293,0.351,0.707,0.909,1.333,1.518,2.047,2.598,3.152,3.716,4.318,4.594,4.756,4.919,5.075,5.23,5.373,5.533,5.263,5.432,5.596,5.759,5.917,6.076,6.237,6.237,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
COWTON,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CRAMLINGTON T1 T3,1.026,1.095,1.186,1.581,1.824,2.288,2.515,3.14,3.778,4.409,5.051,5.738,6.061,6.294,6.536,6.775,7.022,7.252,7.503,7.327,7.59,7.854,8.115,8.362,8.622,8.886,8.889,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
CRAMLINGTON T2 T4,1.113,1.178,1.264,1.671,1.917,2.395,2.625,3.267,3.921,4.57,5.23,5.935,6.262,6.491,6.729,6.962,7.204,7.427,7.672,7.468,7.726,7.983,8.237,8.478,8.731,8.988,8.991,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DARLEY,0.625,0.663,0.729,1.061,1.251,1.645,1.821,2.325,2.845,3.367,3.897,4.462,4.72,4.878,5.04,5.195,5.352,5.496,5.657,5.425,5.595,5.761,5.926,6.085,6.247,6.411,6.412,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DARLINGTON 132/6KV,1.08,1.138,1.225,1.596,1.82,2.256,2.465,3.018,3.595,4.171,4.759,5.392,5.7,5.912,6.125,6.336,6.547,6.75,6.97,6.778,7.006,7.233,7.46,7.675,7.898,8.123,8.123,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DARLINGTON 33/11KV,1.766,1.864,2.039,3.092,3.682,4.936,5.478,7.048,8.681,10.327,11.996,13.775,14.578,15.034,15.498,15.936,16.371,16.767,17.218,16.375,16.85,17.309,17.766,18.212,18.652,19.103,19.104,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DARLINGTON CENTRAL 33/11KV,1.092,1.135,1.203,1.451,1.603,1.895,2.037,2.408,2.795,3.179,3.574,3.998,4.209,4.36,4.512,4.663,4.815,4.962,5.12,5.01,5.174,5.337,5.501,5.655,5.817,5.979,5.98,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DARLINGTON EAST,13.853,13.928,14.111,14.658,14.981,15.628,15.928,16.746,17.597,18.45,19.318,20.25,20.695,20.985,21.278,21.565,21.852,22.124,22.422,22.087,22.397,22.704,23.01,23.302,23.603,23.906,23.907,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DARLINGTON WEST,2.951,3.092,3.284,3.873,4.261,4.943,5.31,6.191,7.111,8.018,8.954,9.972,10.515,10.956,11.397,11.848,12.305,12.756,13.232,13.145,13.632,14.128,14.623,15.085,15.582,16.074,16.075,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DENWICK,4.719,4.924,5.375,7.569,8.799,11.413,12.543,15.923,19.393,22.88,26.401,30.143,31.776,32.708,33.682,34.592,35.52,36.339,37.279,35.515,36.52,37.493,38.452,39.387,40.318,41.28,41.29,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DUNSTON 66/11KV,1.065,1.136,1.243,1.829,2.167,2.861,3.174,4.042,4.948,5.857,6.783,7.774,8.24,8.529,8.82,9.102,9.383,9.646,9.938,9.542,9.847,10.146,10.444,10.731,11.022,11.317,11.317,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DUNSTON 66/20KV,1.785,1.917,2.122,2.794,3.216,4.001,4.398,5.394,6.436,7.47,8.534,9.684,10.276,10.719,11.161,11.608,12.057,12.497,12.966,12.739,13.22,13.706,14.191,14.647,15.131,15.612,15.612,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
DURHAM EAST,2.381,2.427,2.525,3.388,3.849,4.886,5.305,6.597,7.937,9.296,10.665,12.116,12.736,13.035,13.343,13.62,13.894,14.126,14.407,13.563,13.865,14.147,14.427,14.708,14.97,15.245,15.246,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
EASTFIELD,2.515,2.655,2.883,3.418,3.777,4.394,4.735,5.567,6.423,7.261,8.124,9.062,9.555,9.974,10.399,10.834,11.281,11.717,12.178,12.144,12.618,13.103,13.585,14.033,14.519,15.003,15.006,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
EASTGATE CEMENT,0.67,0.702,0.751,1.124,1.331,1.775,1.965,2.524,3.104,3.689,4.281,4.911,5.191,5.346,5.505,5.654,5.803,5.936,6.089,5.781,5.943,6.099,6.254,6.406,6.555,6.708,6.709,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
EDUCATIONAL PRECINCT,0.477,0.541,0.67,1.17,1.462,2.055,2.325,3.067,3.841,4.618,5.409,6.258,6.66,6.915,7.172,7.422,7.67,7.906,8.164,7.839,8.109,8.375,8.64,8.894,9.153,9.415,9.415,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
ELVINGTON,1.699,1.724,1.913,2.213,2.379,2.737,2.89,3.34,3.807,4.278,4.755,5.262,5.487,5.611,5.738,5.857,5.976,6.082,6.204,5.939,6.069,6.193,6.317,6.438,6.557,6.679,6.679,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FARADAY STREET,1.437,1.587,1.813,3.007,3.7,5.113,5.755,7.523,9.368,11.22,13.106,15.127,16.084,16.686,17.291,17.88,18.467,19.019,19.629,18.849,19.485,20.11,20.734,21.333,21.943,22.559,22.559,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FAWDON T1 & SEATON BURN T1,2.9,3.074,3.327,4.136,4.654,5.596,6.085,7.307,8.577,9.832,11.122,12.519,13.237,13.797,14.36,14.93,15.509,16.074,16.674,16.463,17.081,17.708,18.332,18.916,19.541,20.163,20.165,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FISHBURN,28.658,28.833,29.14,30.086,30.654,31.763,32.303,33.418,34.905,36.36,37.859,39.473,40.281,40.866,41.455,42.046,42.655,43.232,43.862,43.477,44.128,44.775,45.427,46.042,46.692,47.342,47.345,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FLATWORTH CENTRAL,1.241,1.308,1.417,1.844,2.101,2.603,2.843,3.474,4.135,4.794,5.469,6.195,6.552,6.797,7.042,7.285,7.528,7.762,8.016,7.796,8.058,8.319,8.58,8.827,9.085,9.343,9.343,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FOSS ISLANDS,1.683,1.824,2.032,3.363,4.12,5.702,6.4,8.381,10.444,12.52,14.628,16.879,17.915,18.53,19.153,19.748,20.341,20.889,21.503,20.52,21.165,21.793,22.419,23.024,23.632,24.25,24.25,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FOSSWAY 33/11KV,1.058,1.2,1.403,2.136,2.595,3.45,3.882,4.964,6.098,7.224,8.382,9.635,10.278,10.756,11.234,11.716,12.2,12.674,13.179,12.925,13.444,13.967,14.49,14.982,15.502,16.02,16.02,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FOURSTONES 20KV,39.062,39.203,39.468,40.97,41.813,43.604,44.378,46.695,49.073,51.463,53.876,56.441,57.56,58.198,58.865,59.489,60.124,60.684,61.328,60.123,60.811,61.477,62.134,62.774,63.412,64.071,64.078,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
FYLANDS BRIDGE,3.033,3.201,3.58,4.509,5.083,6.172,6.71,8.118,9.577,11.027,12.51,14.107,14.896,15.47,16.051,16.63,17.218,17.782,18.39,17.995,18.625,19.257,19.887,20.48,21.107,21.734,21.737,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GALE LANE,6.474,6.611,6.781,7.179,7.468,7.919,8.197,8.789,9.41,10.013,10.644,11.34,11.753,12.142,12.527,12.932,13.343,13.76,14.189,14.319,14.754,15.205,15.655,16.07,16.526,16.974,16.975,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GARWOOD STREET,1.963,2.076,2.277,3.226,3.773,4.897,5.403,6.809,8.275,9.748,11.248,12.853,13.606,14.072,14.542,14.996,15.448,15.872,16.342,15.693,16.184,16.665,17.145,17.607,18.075,18.549,18.549,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GATESHEAD CENTRAL,3.179,3.229,3.334,3.945,4.282,5.011,5.32,6.226,7.17,8.123,9.089,10.117,10.576,10.828,11.083,11.322,11.558,11.771,12.015,11.498,11.757,12.005,12.252,12.495,12.731,12.975,12.975,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GATESHEAD EAST,0.053,0.061,0.101,0.229,0.298,0.452,0.514,0.704,0.902,1.102,1.305,1.519,1.612,1.658,1.705,1.747,1.789,1.825,1.868,1.743,1.789,1.832,1.875,1.918,1.958,2,2,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GOSFORTH 33/11KV,0.599,0.647,0.761,1.083,1.276,1.656,1.835,2.313,2.811,3.31,3.82,4.367,4.635,4.815,4.996,5.174,5.352,5.523,5.709,5.53,5.723,5.914,6.105,6.287,6.475,6.664,6.664,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GRANGETOWN,2.281,2.431,2.648,3.555,4.107,5.174,5.689,7.041,8.451,9.857,11.296,12.845,13.61,14.145,14.682,15.217,15.753,16.27,16.828,16.396,16.973,17.551,18.127,18.672,19.242,19.813,19.814,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GREATHAM,0.26,0.274,0.301,0.536,0.663,0.945,1.06,1.41,1.773,2.142,2.515,2.91,3.08,3.165,3.251,3.329,3.406,3.473,3.552,3.328,3.413,3.492,3.571,3.651,3.725,3.803,3.803,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GUISBOROUGH T1 T2,12.606,12.81,13.13,14.413,15.174,16.685,17.401,19.087,21.097,23.084,25.121,27.308,28.373,29.102,29.839,30.568,31.312,32.013,32.782,32.124,32.923,33.713,34.506,35.259,36.045,36.834,36.837,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
GUISBOROUGH T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HARLOW GREEN,1.772,1.931,2.169,2.819,3.249,4,4.408,5.37,6.379,7.372,8.401,9.521,10.128,10.626,11.12,11.628,12.139,12.649,13.185,13.106,13.653,14.21,14.767,15.286,15.845,16.397,16.398,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HARMIRE BRIDGE,2.141,2.239,2.414,3.563,4.195,5.566,6.148,7.797,9.59,11.392,13.217,15.157,16.017,16.49,16.975,17.429,17.886,18.291,18.759,17.798,18.296,18.772,19.247,19.712,20.169,20.64,20.642,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HARRATON,2.762,2.857,3.01,3.738,4.164,5.025,5.42,6.499,7.625,8.755,9.906,11.141,11.728,12.104,12.482,12.851,13.218,13.566,13.948,13.489,13.886,14.279,14.671,15.046,15.429,15.816,15.816,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HARROGATE 132/11KV,3.582,3.835,4.218,6.017,7.081,9.204,10.192,12.937,15.769,18.598,21.475,24.555,25.995,26.947,27.921,28.87,29.834,30.733,31.722,30.662,31.699,32.727,33.746,34.719,35.725,36.743,36.75,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HARROGATE WEST,0.563,0.629,0.752,1.286,1.597,2.23,2.517,3.33,4.171,5.012,5.866,6.778,7.198,7.462,7.732,7.993,8.257,8.5,8.771,8.414,8.699,8.979,9.257,9.524,9.797,10.074,10.076,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HARTMOOR 66/20KV,8.907,9.089,9.416,10.692,11.449,12.956,13.66,15.567,17.553,19.54,21.565,23.74,24.782,25.471,26.167,26.851,27.536,28.186,28.897,28.156,28.895,29.628,30.359,31.056,31.775,32.5,32.501,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HAWTHORN PIT,16.413,16.626,16.982,18.071,18.755,20.027,20.67,22.306,24.008,25.696,27.428,29.3,30.248,30.958,31.672,32.391,33.117,33.823,34.577,34.198,34.976,35.76,36.542,37.277,38.057,38.835,38.837,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HAXBY ROAD T2 T3,2.237,2.372,2.539,3.015,3.342,3.888,4.2,4.909,5.651,6.377,7.132,7.959,8.421,8.823,9.223,9.638,10.058,10.479,10.917,10.942,11.389,11.847,12.305,12.729,13.191,13.647,13.647,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HEBBURN,0.521,0.547,0.617,0.861,1,1.29,1.418,1.779,2.157,2.536,2.922,3.334,3.525,3.639,3.754,3.864,3.974,4.075,4.189,4.008,4.127,4.244,4.359,4.472,4.584,4.698,4.698,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HEBBURN WEST,0.114,0.123,0.137,0.175,0.2,0.244,0.267,0.323,0.381,0.439,0.499,0.564,0.599,0.626,0.653,0.681,0.709,0.737,0.766,0.758,0.788,0.818,0.848,0.877,0.907,0.937,0.937,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HEDWORTH,1.705,1.802,1.948,2.299,2.538,2.942,3.17,3.687,4.231,4.765,5.319,5.926,6.266,6.558,6.847,7.147,7.449,7.753,8.07,8.075,8.397,8.727,9.058,9.364,9.696,10.024,10.024,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HEIGHINGTON,0.282,0.282,0.29,0.363,0.4,0.488,0.521,0.63,0.742,0.858,0.973,1.095,1.143,1.161,1.179,1.194,1.208,1.218,1.232,1.144,1.161,1.174,1.188,1.203,1.214,1.227,1.227,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HEXHAM,6.023,6.123,6.347,7.186,7.579,8.574,8.97,8.675,10.012,11.24,12.533,13.903,14.547,14.908,15.276,15.631,16.042,16.372,16.788,16.163,16.605,16.994,17.423,17.835,18.256,18.687,18.692,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HIGH BARMSTON,2.596,2.691,2.886,3.578,3.985,4.802,5.181,6.206,7.276,8.348,9.442,10.616,11.179,11.546,11.913,12.274,12.634,12.976,13.35,12.929,13.318,13.703,14.087,14.454,14.831,15.21,15.211,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HIGH FLATTS,2.292,2.455,2.71,3.654,4.233,5.341,5.882,7.311,8.792,10.266,11.772,13.393,14.187,14.755,15.33,15.902,16.481,17.035,17.634,17.213,17.834,18.457,19.076,19.662,20.277,20.895,20.897,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HOUGHTON,4.128,4.274,4.498,5.281,5.767,6.682,7.138,8.307,9.525,10.735,11.977,13.317,13.992,14.488,14.985,15.485,15.988,16.477,17,16.699,17.239,17.782,18.324,18.835,19.374,19.912,19.913,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HOWDON,0.582,0.62,0.673,0.867,0.989,1.215,1.329,1.615,1.915,2.212,2.518,2.849,3.02,3.147,3.275,3.404,3.533,3.66,3.795,3.73,3.869,4.009,4.148,4.28,4.419,4.557,4.557,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HUNTINGTON NEW LANE,1.979,2.082,2.252,2.774,3.103,3.714,4.022,4.806,5.622,6.432,7.263,8.161,8.617,8.959,9.302,9.648,9.997,10.337,10.7,10.519,10.893,11.271,11.647,12.001,12.376,12.75,12.751,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
HUSTHWAITE 33/11KV,13.542,13.667,13.982,15.235,15.943,17.435,18.087,20.005,21.98,23.964,25.971,28.106,29.053,29.605,30.178,30.718,31.265,31.755,32.313,31.337,31.93,32.506,33.076,33.629,34.183,34.752,34.757,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
JARROW,0.299,0.329,0.394,0.603,0.728,0.975,1.091,1.401,1.726,2.05,2.382,2.738,2.91,3.024,3.138,3.25,3.362,3.469,3.585,3.462,3.583,3.703,3.823,3.937,4.055,4.173,4.173,NPgN,Primary,NG FES - Electric Engagement,Total installed renewable generation capacity (MW)
